dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
31,1.0,119.634,2.0,,,11
31,4.0,123.712,2.0,,5651.066,11
31,37.0,85.071,1.0,8495.113,,11
31,38.0,100.201,2.0,,8516.782,11
31,70.0,82.085,1.0,,,11
44,1.0,118.069,1.0,,,11
44,4.0,109.712,1.0,5735.047,,11
44,5.0,103.232,14.0,,5756.763,11
44,19.0,86.667,11.0,7029.103,,11
44,20.0,99.467,12.0,,7050.586,11
44,47.0,84.232,4.0,9341.969,,11
44,48.0,96.937,5.0,,9363.191,11
44,70.0,80.111,3.0,,,11
55,1.0,123.261,4.0,,,11
55,4.0,127.453,6.0,,5655.901,11
55,32.0,84.716,3.0,8092.648,,11
55,33.0,100.905,4.0,,8114.575,11
55,70.0,83.122,4.0,,,11
14,1.0,128.062,7.0,,,11
14,4.0,120.505,7.0,,5658.125,11
14,39.0,85.494,1.0,8675.892,,11
14,40.0,99.729,5.0,,8697.371,11
14,70.0,82.911,5.0,,,11
10,1.0,135.203,12.0,,,11
10,4.0,122.87,13.0,,5663.43,11
10,30.0,85.694,5.0,7944.857,,11
10,31.0,100.278,8.0,,7966.173,11
10,68.0,85.133,6.0,11097.217,,11
10,69.0,102.306,6.0,,11118.699,11
10,70.0,78.394,6.0,,,11
22,1.0,125.307,5.0,,,11
22,4.0,126.065,5.0,,5654.786,11
22,22.0,86.468,5.0,7268.053,,11
22,23.0,100.28,7.0,,7289.097,11
22,70.0,84.682,7.0,,,11
6,1.0,126.501,6.0,,,11
6,4.0,124.546,4.0,,5653.967,11
6,23.0,86.212,4.0,7350.309,,11
6,24.0,102.72,7.0,,7373.024,11
6,70.0,84.474,8.0,,,11
63,1.0,129.639,8.0,,,11
63,4.0,121.055,8.0,,5650.922,11
63,21.0,86.392,7.0,7192.96,,11
63,22.0,102.131,10.0,,7215.117,11
63,70.0,83.42,9.0,,,11
33,1.0,130.591,9.0,3861.951,,11
33,4.0,120.218,12.0,,5660.365,11
33,20.0,87.006,10.0,7111.693,,11
33,21.0,101.531,12.0,,7132.71,11
33,40.0,85.176,11.0,8810.701,,11
33,41.0,98.489,12.0,,8831.534,11
33,70.0,83.261,10.0,,,11
7,1.0,130.748,10.0,,,11
7,4.0,120.984,9.0,,5657.658,11
7,15.0,87.487,9.0,6687.392,,11
7,16.0,116.162,14.0,,6723.389,11
7,53.0,86.133,12.0,9897.493,,11
7,54.0,102.182,12.0,,9918.663,11
3,1.0,142.328,14.0,,,11
3,4.0,119.686,10.0,,5658.804,11
3,20.0,87.13,8.0,7110.243,,11
3,21.0,101.819,11.0,,7131.873,11
47,1.0,133.44,11.0,,,11
47,4.0,121.816,11.0,,5659.74,11
47,34.0,90.363,13.0,8314.877,,11
47,35.0,102.189,13.0,,8336.973,11
99,1.0,162.558,16.0,3893.872,3747.412,11
99,4.0,120.644,14.0,,5665.35,11
99,11.0,88.208,14.0,6353.47,,11
99,12.0,110.025,14.0,,6382.624,11
99,33.0,86.449,14.0,8232.809,,11
99,34.0,101.621,14.0,,8254.706,11
9,1.0,137.794,13.0,3869.136,,11
4,1.0,142.425,15.0,3875.352,,11
5,1.0,121.406,3.0,,,11
5,4.0,123.935,3.0,,5653.292,11
5,36.0,85.373,2.0,8414.751,,11
5,37.0,98.807,3.0,,8437.443,11
5,70.0,82.426,2.0,,,11
