cID,name,country,round,season
0,Bahrain International Circuit,Bahrain,1,1989
1,Autodromo Enzo e Dino Ferrari,Italy,2,1989
2,Autódromo Internacional do Algarve,Portugal,3,1989
3,Circuit de Barcelona-Catalunya,Spain,4,1989
4,Circuit de Monaco,Monaco,5,1989
5,Baku City Circuit,Azerbaijan,6,1989
6,Circuit Paul Ricard,France,7,1989
7,Red Bull Ring,Austria,8,1989
8,Red Bull Ring,Austria,9,1989
9,Silverstone Circuit,UK,10,1989
10,Hungaroring,Hungary,11,1989
11,Circuit de Spa-Francorchamps,Belgium,12,1989
12,Circuit Park Zandvoort,Netherlands,13,1989
13,Autodromo Nazionale di Monza,Italy,14,1989
14,Sochi Autodrom,Russia,15,1989
15,Istanbul Park,Turkey,16,1989
16,Bahrain International Circuit,Bahrain,1,1990
17,Autodromo Enzo e Dino Ferrari,Italy,2,1990
18,Autódromo Internacional do Algarve,Portugal,3,1990
19,Circuit de Barcelona-Catalunya,Spain,4,1990
20,Circuit de Monaco,Monaco,5,1990
21,Baku City Circuit,Azerbaijan,6,1990
22,Circuit Paul Ricard,France,7,1990
23,Red Bull Ring,Austria,8,1990
24,Red Bull Ring,Austria,9,1990
25,Silverstone Circuit,UK,10,1990
26,Hungaroring,Hungary,11,1990
27,Circuit de Spa-Francorchamps,Belgium,12,1990
28,Circuit Park Zandvoort,Netherlands,13,1990
29,Autodromo Nazionale di Monza,Italy,14,1990
30,Sochi Autodrom,Russia,15,1990
31,Istanbul Park,Turkey,16,1990
32,Bahrain International Circuit,Bahrain,1,1991
33,Autodromo Enzo e Dino Ferrari,Italy,2,1991
34,Autódromo Internacional do Algarve,Portugal,3,1991
35,Circuit de Barcelona-Catalunya,Spain,4,1991
36,Circuit de Monaco,Monaco,5,1991
37,Baku City Circuit,Azerbaijan,6,1991
38,Circuit Paul Ricard,France,7,1991
39,Red Bull Ring,Austria,8,1991
40,Red Bull Ring,Austria,9,1991
41,Silverstone Circuit,UK,10,1991
42,Hungaroring,Hungary,11,1991
43,Circuit de Spa-Francorchamps,Belgium,12,1991
44,Circuit Park Zandvoort,Netherlands,13,1991
45,Autodromo Nazionale di Monza,Italy,14,1991
46,Sochi Autodrom,Russia,15,1991
47,Istanbul Park,Turkey,16,1991
48,Bahrain International Circuit,Bahrain,1,1992
49,Autodromo Enzo e Dino Ferrari,Italy,2,1992
50,Autódromo Internacional do Algarve,Portugal,3,1992
51,Circuit de Barcelona-Catalunya,Spain,4,1992
52,Circuit de Monaco,Monaco,5,1992
53,Baku City Circuit,Azerbaijan,6,1992
54,Circuit Paul Ricard,France,7,1992
55,Red Bull Ring,Austria,8,1992
56,Red Bull Ring,Austria,9,1992
57,Silverstone Circuit,UK,10,1992
58,Hungaroring,Hungary,11,1992
59,Circuit de Spa-Francorchamps,Belgium,12,1992
60,Circuit Park Zandvoort,Netherlands,13,1992
61,Autodromo Nazionale di Monza,Italy,14,1992
62,Sochi Autodrom,Russia,15,1992
63,Istanbul Park,Turkey,16,1992
64,Bahrain International Circuit,Bahrain,1,1993
65,Autodromo Enzo e Dino Ferrari,Italy,2,1993
66,Autódromo Internacional do Algarve,Portugal,3,1993
67,Circuit de Barcelona-Catalunya,Spain,4,1993
68,Circuit de Monaco,Monaco,5,1993
69,Baku City Circuit,Azerbaijan,6,1993
70,Circuit Paul Ricard,France,7,1993
71,Red Bull Ring,Austria,8,1993
72,Red Bull Ring,Austria,9,1993
73,Silverstone Circuit,UK,10,1993
74,Hungaroring,Hungary,11,1993
75,Circuit de Spa-Francorchamps,Belgium,12,1993
76,Circuit Park Zandvoort,Netherlands,13,1993
77,Autodromo Nazionale di Monza,Italy,14,1993
78,Sochi Autodrom,Russia,15,1993
79,Istanbul Park,Turkey,16,1993
80,Bahrain International Circuit,Bahrain,1,1994
81,Autodromo Enzo e Dino Ferrari,Italy,2,1994
82,Autódromo Internacional do Algarve,Portugal,3,1994
83,Circuit de Barcelona-Catalunya,Spain,4,1994
84,Circuit de Monaco,Monaco,5,1994
85,Baku City Circuit,Azerbaijan,6,1994
86,Circuit Paul Ricard,France,7,1994
87,Red Bull Ring,Austria,8,1994
88,Red Bull Ring,Austria,9,1994
89,Silverstone Circuit,UK,10,1994
90,Hungaroring,Hungary,11,1994
91,Circuit de Spa-Francorchamps,Belgium,12,1994
92,Circuit Park Zandvoort,Netherlands,13,1994
93,Autodromo Nazionale di Monza,Italy,14,1994
94,Sochi Autodrom,Russia,15,1994
95,Istanbul Park,Turkey,16,1994
96,Bahrain International Circuit,Bahrain,1,1995
97,Autodromo Enzo e Dino Ferrari,Italy,2,1995
98,Autódromo Internacional do Algarve,Portugal,3,1995
99,Circuit de Barcelona-Catalunya,Spain,4,1995
100,Circuit de Monaco,Monaco,5,1995
101,Baku City Circuit,Azerbaijan,6,1995
102,Circuit Paul Ricard,France,7,1995
103,Red Bull Ring,Austria,8,1995
104,Red Bull Ring,Austria,9,1995
105,Silverstone Circuit,UK,10,1995
106,Hungaroring,Hungary,11,1995
107,Circuit de Spa-Francorchamps,Belgium,12,1995
108,Circuit Park Zandvoort,Netherlands,13,1995
109,Autodromo Nazionale di Monza,Italy,14,1995
110,Sochi Autodrom,Russia,15,1995
111,Istanbul Park,Turkey,16,1995
112,Circuit of the Americas,USA,17,1995
113,Bahrain International Circuit,Bahrain,1,1996
114,Autodromo Enzo e Dino Ferrari,Italy,2,1996
115,Autódromo Internacional do Algarve,Portugal,3,1996
116,Circuit de Barcelona-Catalunya,Spain,4,1996
117,Circuit de Monaco,Monaco,5,1996
118,Baku City Circuit,Azerbaijan,6,1996
119,Circuit Paul Ricard,France,7,1996
120,Red Bull Ring,Austria,8,1996
121,Red Bull Ring,Austria,9,1996
122,Silverstone Circuit,UK,10,1996
123,Hungaroring,Hungary,11,1996
124,Circuit de Spa-Francorchamps,Belgium,12,1996
125,Circuit Park Zandvoort,Netherlands,13,1996
126,Autodromo Nazionale di Monza,Italy,14,1996
127,Sochi Autodrom,Russia,15,1996
128,Istanbul Park,Turkey,16,1996
129,Bahrain International Circuit,Bahrain,1,1997
130,Autodromo Enzo e Dino Ferrari,Italy,2,1997
131,Autódromo Internacional do Algarve,Portugal,3,1997
132,Circuit de Barcelona-Catalunya,Spain,4,1997
133,Circuit de Monaco,Monaco,5,1997
134,Baku City Circuit,Azerbaijan,6,1997
135,Circuit Paul Ricard,France,7,1997
136,Red Bull Ring,Austria,8,1997
137,Red Bull Ring,Austria,9,1997
138,Silverstone Circuit,UK,10,1997
139,Hungaroring,Hungary,11,1997
140,Circuit de Spa-Francorchamps,Belgium,12,1997
141,Circuit Park Zandvoort,Netherlands,13,1997
142,Autodromo Nazionale di Monza,Italy,14,1997
143,Sochi Autodrom,Russia,15,1997
144,Istanbul Park,Turkey,16,1997
145,Circuit of the Americas,USA,17,1997
146,Bahrain International Circuit,Bahrain,1,1998
147,Autodromo Enzo e Dino Ferrari,Italy,2,1998
148,Autódromo Internacional do Algarve,Portugal,3,1998
149,Circuit de Barcelona-Catalunya,Spain,4,1998
150,Circuit de Monaco,Monaco,5,1998
151,Baku City Circuit,Azerbaijan,6,1998
152,Circuit Paul Ricard,France,7,1998
153,Red Bull Ring,Austria,8,1998
154,Red Bull Ring,Austria,9,1998
155,Silverstone Circuit,UK,10,1998
156,Hungaroring,Hungary,11,1998
157,Circuit de Spa-Francorchamps,Belgium,12,1998
158,Circuit Park Zandvoort,Netherlands,13,1998
159,Autodromo Nazionale di Monza,Italy,14,1998
160,Sochi Autodrom,Russia,15,1998
161,Istanbul Park,Turkey,16,1998
162,Bahrain International Circuit,Bahrain,1,1999
163,Autodromo Enzo e Dino Ferrari,Italy,2,1999
164,Autódromo Internacional do Algarve,Portugal,3,1999
165,Circuit de Barcelona-Catalunya,Spain,4,1999
166,Circuit de Monaco,Monaco,5,1999
167,Baku City Circuit,Azerbaijan,6,1999
168,Circuit Paul Ricard,France,7,1999
169,Red Bull Ring,Austria,8,1999
170,Red Bull Ring,Austria,9,1999
171,Silverstone Circuit,UK,10,1999
172,Hungaroring,Hungary,11,1999
173,Circuit de Spa-Francorchamps,Belgium,12,1999
174,Circuit Park Zandvoort,Netherlands,13,1999
175,Autodromo Nazionale di Monza,Italy,14,1999
176,Sochi Autodrom,Russia,15,1999
177,Istanbul Park,Turkey,16,1999
178,Bahrain International Circuit,Bahrain,1,2000
179,Autodromo Enzo e Dino Ferrari,Italy,2,2000
180,Autódromo Internacional do Algarve,Portugal,3,2000
181,Circuit de Barcelona-Catalunya,Spain,4,2000
182,Circuit de Monaco,Monaco,5,2000
183,Baku City Circuit,Azerbaijan,6,2000
184,Circuit Paul Ricard,France,7,2000
185,Red Bull Ring,Austria,8,2000
186,Red Bull Ring,Austria,9,2000
187,Silverstone Circuit,UK,10,2000
188,Hungaroring,Hungary,11,2000
189,Circuit de Spa-Francorchamps,Belgium,12,2000
190,Circuit Park Zandvoort,Netherlands,13,2000
191,Autodromo Nazionale di Monza,Italy,14,2000
192,Sochi Autodrom,Russia,15,2000
193,Istanbul Park,Turkey,16,2000
194,Circuit of the Americas,USA,17,2000
195,Bahrain International Circuit,Bahrain,1,2001
196,Autodromo Enzo e Dino Ferrari,Italy,2,2001
197,Autódromo Internacional do Algarve,Portugal,3,2001
198,Circuit de Barcelona-Catalunya,Spain,4,2001
199,Circuit de Monaco,Monaco,5,2001
200,Baku City Circuit,Azerbaijan,6,2001
201,Circuit Paul Ricard,France,7,2001
202,Red Bull Ring,Austria,8,2001
203,Red Bull Ring,Austria,9,2001
204,Silverstone Circuit,UK,10,2001
205,Hungaroring,Hungary,11,2001
206,Circuit de Spa-Francorchamps,Belgium,12,2001
207,Circuit Park Zandvoort,Netherlands,13,2001
208,Autodromo Nazionale di Monza,Italy,14,2001
209,Sochi Autodrom,Russia,15,2001
210,Istanbul Park,Turkey,16,2001
211,Circuit of the Americas,USA,17,2001
212,Bahrain International Circuit,Bahrain,1,2002
213,Autodromo Enzo e Dino Ferrari,Italy,2,2002
214,Autódromo Internacional do Algarve,Portugal,3,2002
215,Circuit de Barcelona-Catalunya,Spain,4,2002
216,Circuit de Monaco,Monaco,5,2002
217,Baku City Circuit,Azerbaijan,6,2002
218,Circuit Paul Ricard,France,7,2002
219,Red Bull Ring,Austria,8,2002
220,Red Bull Ring,Austria,9,2002
221,Silverstone Circuit,UK,10,2002
222,Hungaroring,Hungary,11,2002
223,Circuit de Spa-Francorchamps,Belgium,12,2002
224,Circuit Park Zandvoort,Netherlands,13,2002
225,Autodromo Nazionale di Monza,Italy,14,2002
226,Sochi Autodrom,Russia,15,2002
227,Istanbul Park,Turkey,16,2002
228,Circuit of the Americas,USA,17,2002
229,Bahrain International Circuit,Bahrain,1,2003
230,Autodromo Enzo e Dino Ferrari,Italy,2,2003
231,Autódromo Internacional do Algarve,Portugal,3,2003
232,Circuit de Barcelona-Catalunya,Spain,4,2003
233,Circuit de Monaco,Monaco,5,2003
234,Baku City Circuit,Azerbaijan,6,2003
235,Circuit Paul Ricard,France,7,2003
236,Red Bull Ring,Austria,8,2003
237,Red Bull Ring,Austria,9,2003
238,Silverstone Circuit,UK,10,2003
239,Hungaroring,Hungary,11,2003
240,Circuit de Spa-Francorchamps,Belgium,12,2003
241,Circuit Park Zandvoort,Netherlands,13,2003
242,Autodromo Nazionale di Monza,Italy,14,2003
243,Sochi Autodrom,Russia,15,2003
244,Istanbul Park,Turkey,16,2003
245,Bahrain International Circuit,Bahrain,1,2004
246,Autodromo Enzo e Dino Ferrari,Italy,2,2004
247,Autódromo Internacional do Algarve,Portugal,3,2004
248,Circuit de Barcelona-Catalunya,Spain,4,2004
249,Circuit de Monaco,Monaco,5,2004
250,Baku City Circuit,Azerbaijan,6,2004
251,Circuit Paul Ricard,France,7,2004
252,Red Bull Ring,Austria,8,2004
253,Red Bull Ring,Austria,9,2004
254,Silverstone Circuit,UK,10,2004
255,Hungaroring,Hungary,11,2004
256,Circuit de Spa-Francorchamps,Belgium,12,2004
257,Circuit Park Zandvoort,Netherlands,13,2004
258,Autodromo Nazionale di Monza,Italy,14,2004
259,Sochi Autodrom,Russia,15,2004
260,Istanbul Park,Turkey,16,2004
261,Circuit of the Americas,USA,17,2004
262,Autódromo Hermanos Rodríguez,Mexico,18,2004
263,Bahrain International Circuit,Bahrain,1,2005
264,Autodromo Enzo e Dino Ferrari,Italy,2,2005
265,Autódromo Internacional do Algarve,Portugal,3,2005
266,Circuit de Barcelona-Catalunya,Spain,4,2005
267,Circuit de Monaco,Monaco,5,2005
268,Baku City Circuit,Azerbaijan,6,2005
269,Circuit Paul Ricard,France,7,2005
270,Red Bull Ring,Austria,8,2005
271,Red Bull Ring,Austria,9,2005
272,Silverstone Circuit,UK,10,2005
273,Hungaroring,Hungary,11,2005
274,Circuit de Spa-Francorchamps,Belgium,12,2005
275,Circuit Park Zandvoort,Netherlands,13,2005
276,Autodromo Nazionale di Monza,Italy,14,2005
277,Sochi Autodrom,Russia,15,2005
278,Istanbul Park,Turkey,16,2005
279,Circuit of the Americas,USA,17,2005
280,Autódromo Hermanos Rodríguez,Mexico,18,2005
281,Autódromo José Carlos Pace,Brazil,19,2005
282,Bahrain International Circuit,Bahrain,1,2006
283,Autodromo Enzo e Dino Ferrari,Italy,2,2006
284,Autódromo Internacional do Algarve,Portugal,3,2006
285,Circuit de Barcelona-Catalunya,Spain,4,2006
286,Circuit de Monaco,Monaco,5,2006
287,Baku City Circuit,Azerbaijan,6,2006
288,Circuit Paul Ricard,France,7,2006
289,Red Bull Ring,Austria,8,2006
290,Red Bull Ring,Austria,9,2006
291,Silverstone Circuit,UK,10,2006
292,Hungaroring,Hungary,11,2006
293,Circuit de Spa-Francorchamps,Belgium,12,2006
294,Circuit Park Zandvoort,Netherlands,13,2006
295,Autodromo Nazionale di Monza,Italy,14,2006
296,Sochi Autodrom,Russia,15,2006
297,Istanbul Park,Turkey,16,2006
298,Circuit of the Americas,USA,17,2006
299,Autódromo Hermanos Rodríguez,Mexico,18,2006
300,Bahrain International Circuit,Bahrain,1,2007
301,Autodromo Enzo e Dino Ferrari,Italy,2,2007
302,Autódromo Internacional do Algarve,Portugal,3,2007
303,Circuit de Barcelona-Catalunya,Spain,4,2007
304,Circuit de Monaco,Monaco,5,2007
305,Baku City Circuit,Azerbaijan,6,2007
306,Circuit Paul Ricard,France,7,2007
307,Red Bull Ring,Austria,8,2007
308,Red Bull Ring,Austria,9,2007
309,Silverstone Circuit,UK,10,2007
310,Hungaroring,Hungary,11,2007
311,Circuit de Spa-Francorchamps,Belgium,12,2007
312,Circuit Park Zandvoort,Netherlands,13,2007
313,Autodromo Nazionale di Monza,Italy,14,2007
314,Sochi Autodrom,Russia,15,2007
315,Istanbul Park,Turkey,16,2007
316,Circuit of the Americas,USA,17,2007
317,Bahrain International Circuit,Bahrain,1,2008
318,Autodromo Enzo e Dino Ferrari,Italy,2,2008
319,Autódromo Internacional do Algarve,Portugal,3,2008
320,Circuit de Barcelona-Catalunya,Spain,4,2008
321,Circuit de Monaco,Monaco,5,2008
322,Baku City Circuit,Azerbaijan,6,2008
323,Circuit Paul Ricard,France,7,2008
324,Red Bull Ring,Austria,8,2008
325,Red Bull Ring,Austria,9,2008
326,Silverstone Circuit,UK,10,2008
327,Hungaroring,Hungary,11,2008
328,Circuit de Spa-Francorchamps,Belgium,12,2008
329,Circuit Park Zandvoort,Netherlands,13,2008
330,Autodromo Nazionale di Monza,Italy,14,2008
331,Sochi Autodrom,Russia,15,2008
332,Istanbul Park,Turkey,16,2008
333,Circuit of the Americas,USA,17,2008
334,Autódromo Hermanos Rodríguez,Mexico,18,2008
335,Bahrain International Circuit,Bahrain,1,2009
336,Autodromo Enzo e Dino Ferrari,Italy,2,2009
337,Autódromo Internacional do Algarve,Portugal,3,2009
338,Circuit de Barcelona-Catalunya,Spain,4,2009
339,Circuit de Monaco,Monaco,5,2009
340,Baku City Circuit,Azerbaijan,6,2009
341,Circuit Paul Ricard,France,7,2009
342,Red Bull Ring,Austria,8,2009
343,Red Bull Ring,Austria,9,2009
344,Silverstone Circuit,UK,10,2009
