dID,cID,rID,startPos,finishPos
136,50,0,2,1
174,38,0,1,2
161,50,0,3,3
187,11,0,7,4
156,38,0,0,5
184,7,0,4,6
157,11,0,6,7
173,7,0,8,8
194,59,0,13,9
183,61,0,10,10
107,57,0,14,11
181,57,0,12,12
176,60,0,16,13
188,18,0,15,14
140,61,0,20,15
193,56,0,18,16
180,59,0,5,17
191,18,0,17,18
103,60,0,9,19
192,56,0,19,20
174,38,1,3,1
136,50,1,1,2
187,11,1,7,3
184,7,1,4,4
173,7,1,11,5
157,11,1,6,6
180,59,1,5,7
183,61,1,10,8
176,60,1,9,9
103,60,1,15,10
156,38,1,2,11
194,59,1,20,12
107,57,1,16,13
181,57,1,17,14
140,61,1,0,15
193,56,1,18,16
192,56,1,19,17
161,50,1,8,18
188,18,1,12,19
191,18,1,14,20
136,50,2,2,1
174,38,2,3,2
161,50,2,1,3
156,38,2,4,4
187,11,2,7,5
184,7,2,8,6
176,60,2,6,7
103,60,2,13,8
157,11,2,16,9
180,59,2,9,10
173,7,2,5,11
181,57,2,12,12
140,61,2,10,13
183,61,2,17,14
194,59,2,14,15
188,18,2,11,16
193,56,2,19,17
191,18,2,18,18
192,56,2,20,19
107,57,2,15,20
136,50,3,1,1
174,38,3,2,2
161,50,3,3,3
184,7,3,4,4
156,38,3,8,5
157,11,3,7,6
173,7,3,6,7
187,11,3,9,8
176,60,3,5,9
180,59,3,12,10
183,61,3,11,11
107,57,3,17,12
140,61,3,13,13
188,18,3,15,14
181,57,3,14,15
191,18,3,19,16
103,60,3,10,17
193,56,3,18,18
192,56,3,20,19
194,59,3,16,20
174,38,4,2,1
173,7,4,4,2
187,11,4,5,3
156,38,4,9,4
140,61,4,8,5
180,59,4,6,6
136,50,4,7,7
183,61,4,13,8
176,60,4,11,9
181,57,4,10,10
107,57,4,14,11
157,11,4,12,12
103,60,4,17,13
188,18,4,15,14
191,18,4,18,15
194,59,4,16,16
192,56,4,19,17
193,56,4,20,18
161,50,4,3,19
184,7,4,1,20
156,38,5,6,1
140,61,5,11,2
180,59,5,4,3
184,7,5,1,4
187,11,5,9,5
103,60,5,8,6
194,59,5,7,7
173,7,5,5,8
157,11,5,13,9
107,57,5,14,10
181,57,5,20,11
161,50,5,10,12
193,56,5,17,13
192,56,5,18,14
136,50,5,2,15
191,18,5,16,16
188,18,5,15,17
174,38,5,3,18
183,61,5,19,19
176,60,5,12,20
174,38,6,1,1
136,50,6,2,2
156,38,6,4,3
161,50,6,3,4
187,11,6,8,5
157,11,6,10,6
180,59,6,6,7
103,60,6,9,8
140,61,6,12,9
183,61,6,19,10
173,7,6,5,11
188,18,6,14,12
194,59,6,0,13
176,60,6,11,14
181,57,6,13,15
184,7,6,7,16
107,57,6,17,17
191,18,6,16,18
193,56,6,15,19
192,56,6,18,20
174,38,7,1,1
136,50,7,2,2
161,50,7,5,3
156,38,7,4,4
187,11,7,3,5
173,7,7,12,6
184,7,7,7,7
183,61,7,9,8
103,60,7,8,9
194,59,7,11,10
107,57,7,18,11
140,61,7,14,12
157,11,7,13,13
176,60,7,17,14
181,57,7,15,15
193,56,7,19,16
191,18,7,16,17
192,56,7,20,18
188,18,7,10,19
180,59,7,6,20
174,38,8,1,1
161,50,8,5,2
187,11,8,2,3
136,50,8,4,4
173,7,8,10,5
156,38,8,3,6
157,11,8,13,7
184,7,8,12,8
180,59,8,6,9
103,60,8,14,10
188,18,8,8,11
194,59,8,7,12
183,61,8,9,13
181,57,8,15,14
107,57,8,16,15
191,18,8,18,16
140,61,8,11,17
193,56,8,19,18
192,56,8,20,19
176,60,8,17,20
136,50,9,2,1
184,7,9,4,2
161,50,9,3,3
187,11,9,5,4
157,11,9,6,5
173,7,9,10,6
103,60,9,7,7
183,61,9,14,8
176,60,9,9,9
194,59,9,16,10
180,59,9,11,11
188,18,9,12,12
181,57,9,15,13
191,18,9,17,14
107,57,9,13,15
156,38,9,0,16
192,56,9,19,17
193,56,9,18,18
140,61,9,8,19
174,38,9,1,20
176,60,10,8,1
136,50,10,1,2
173,7,10,15,3
103,60,10,9,4
180,59,10,5,5
194,59,10,16,6
191,18,10,18,7
188,18,10,17,8
174,38,10,3,9
107,57,10,13,10
157,11,10,11,11
193,56,10,20,12
181,57,10,0,13
192,56,10,19,14
187,11,10,6,15
161,50,10,2,16
156,38,10,4,17
184,7,10,7,18
183,61,10,12,19
140,61,10,10,20
174,38,11,1,1
188,18,11,2,2
136,50,11,3,3
157,11,11,4,4
140,61,11,5,5
180,59,11,6,6
176,60,11,8,7
184,7,11,9,8
191,18,11,10,9
173,7,11,11,10
103,60,11,12,11
161,50,11,13,12
181,57,11,14,13
187,11,11,15,14
194,59,11,16,15
193,56,11,17,16
192,56,11,18,17
107,57,11,0,18
156,38,11,0,19
183,61,11,19,20
174,38,12,1,1
136,50,12,2,2
161,50,12,3,3
180,59,12,4,4
184,7,12,5,5
103,60,12,9,6
173,7,12,6,7
156,38,12,0,8
176,60,12,8,9
187,11,12,13,10
157,11,12,10,11
183,61,12,12,12
140,61,12,15,13
181,57,12,7,14
131,57,12,16,15
191,18,12,0,16
188,18,12,11,17
193,56,12,17,18
194,59,12,14,19
192,56,12,18,20
157,11,13,2,1
187,11,13,3,2
161,50,13,19,3
184,7,13,5,4
156,38,13,8,5
173,7,13,6,6
183,61,13,9,7
103,60,13,10,8
188,18,13,14,9
176,60,13,12,10
191,18,13,13,11
140,61,13,11,12
181,57,13,7,13
131,57,13,17,14
193,56,13,18,15
192,56,13,16,16
136,50,13,4,17
174,38,13,1,18
180,59,13,0,19
194,59,13,0,20
136,50,14,4,1
174,38,14,20,2
173,7,14,2,3
157,11,14,5,4
161,50,14,16,5
103,60,14,6,6
187,11,14,1,7
107,57,14,13,8
156,38,14,8,9
188,18,14,3,10
183,61,14,7,11
140,61,14,10,12
180,59,14,11,13
176,60,14,9,14
184,7,14,19,15
181,57,14,17,16
194,59,14,12,17
192,56,14,15,18
191,18,14,18,19
193,56,14,14,20
161,50,15,1,1
174,38,15,2,2
156,38,15,6,3
184,7,15,3,4
136,50,15,11,5
180,59,15,4,6
187,11,15,7,7
173,7,15,19,8
183,61,15,8,9
176,60,15,12,10
181,57,15,16,11
107,57,15,17,12
157,11,15,20,13
194,59,15,9,14
188,18,15,13,15
103,60,15,5,16
191,18,15,15,17
140,61,15,10,18
193,56,15,14,19
192,56,15,18,20
136,50,16,2,1
174,38,16,1,2
161,50,16,3,3
187,11,16,7,4
156,38,16,0,5
184,7,16,4,6
157,11,16,6,7
173,7,16,8,8
194,59,16,13,9
183,61,16,10,10
107,57,16,14,11
181,57,16,12,12
176,60,16,16,13
188,18,16,15,14
140,61,16,20,15
193,56,16,18,16
180,59,16,5,17
191,18,16,17,18
103,60,16,9,19
192,56,16,19,20
174,38,17,3,1
136,50,17,1,2
187,11,17,7,3
184,7,17,4,4
173,7,17,11,5
157,11,17,6,6
180,59,17,5,7
183,61,17,10,8
176,60,17,9,9
103,60,17,15,10
156,38,17,2,11
194,59,17,20,12
107,57,17,16,13
181,57,17,17,14
140,61,17,0,15
193,56,17,18,16
192,56,17,19,17
161,50,17,8,18
188,18,17,12,19
191,18,17,14,20
136,50,18,2,1
174,38,18,3,2
161,50,18,1,3
156,38,18,4,4
187,11,18,7,5
184,7,18,8,6
176,60,18,6,7
103,60,18,13,8
157,11,18,16,9
180,59,18,9,10
173,7,18,5,11
181,57,18,12,12
140,61,18,10,13
183,61,18,17,14
194,59,18,14,15
188,18,18,11,16
193,56,18,19,17
191,18,18,18,18
192,56,18,20,19
107,57,18,15,20
136,50,19,1,1
174,38,19,2,2
161,50,19,3,3
184,7,19,4,4
156,38,19,8,5
157,11,19,7,6
173,7,19,6,7
