Driver,Time,LapNumber,LapTime,Position,PitInTime,PitOutTime,dID,rID,Speed
HAM,2349.686,1.0,0 days 00:01:59.538000,2.0,,,44,1,119.538
HAM,3631.298,13.0,0 days 00:01:38.924000,2.0,3629.611,,44,1,98.924
HAM,3746.304,14.0,0 days 00:01:55.006000,4.0,,3654.547,44,1,115.006
HAM,5082.938,28.0,0 days 00:01:37.835000,2.0,5081.24,,44,1,97.835
HAM,5198.132,29.0,0 days 00:01:55.194000,3.0,,5105.375,44,1,115.194
HAM,7754.047,56.0,0 days 00:01:34.918000,1.0,,,44,1,94.918
VER,2348.393,1.0,0 days 00:01:58.245000,1.0,,,33,1,118.245
VER,4016.905,17.0,0 days 00:01:39.153000,1.0,4015.22,,33,1,99.153
VER,4132.437,18.0,0 days 00:01:55.532000,2.0,,4040.122,33,1,115.532
VER,6135.088,39.0,0 days 00:01:37.828000,1.0,6133.427,,33,1,97.828
VER,6248.525,40.0,0 days 00:01:53.437000,2.0,,6157.245,33,1,113.437
VER,7754.768,56.0,0 days 00:01:34.727000,2.0,,,33,1,94.727
BOT,2353.92,1.0,0 days 00:02:03.772000,4.0,,,77,1,123.772
BOT,3926.391,16.0,0 days 00:01:39.534000,2.0,3924.696,,77,1,99.534
BOT,4041.11,17.0,0 days 00:01:54.719000,4.0,,3948.94,77,1,114.719
BOT,5281.018,30.0,0 days 00:01:38.028000,2.0,5279.311,,77,1,98.028
BOT,5404.836,31.0,0 days 00:02:03.818000,5.0,,5312.248,77,1,123.818
BOT,7583.439,54.0,0 days 00:01:37.802000,3.0,7581.738,,77,1,97.802
BOT,7699.338,55.0,0 days 00:01:55.899000,3.0,,7606.324,77,1,115.899
BOT,7791.428,56.0,0 days 00:01:32.090000,3.0,,,77,1,92.09
NOR,2356.892,1.0,0 days 00:02:06.744000,6.0,,,4,1,126.744
NOR,3547.071,12.0,0 days 00:01:40.425000,5.0,3545.532,,4,1,100.425
NOR,3664.488,13.0,0 days 00:01:57.417000,13.0,,3570.38,4,1,117.417
NOR,5593.577,33.0,0 days 00:01:39.275000,3.0,5591.987,,4,1,99.275
NOR,5710.387,34.0,0 days 00:01:56.810000,6.0,,5617.645,4,1,116.81
NOR,7800.423,56.0,0 days 00:01:35.733000,4.0,,,4,1,95.733
PER,2378.077,1.0,0 days 00:02:27.951000,19.0,,2242.315,11,1,147.951
PER,2518.743,2.0,0 days 00:02:20.666000,19.0,2517.867,,11,1,140.666
PER,2653.989,3.0,0 days 00:02:15.246000,19.0,,2541.058,11,1,135.246
PER,4237.326,19.0,0 days 00:01:39.720000,4.0,4235.674,,11,1,99.72
PER,4353.838,20.0,0 days 00:01:56.512000,12.0,,4259.792,11,1,116.512
PER,6082.298,38.0,0 days 00:01:38.802000,4.0,6080.638,,11,1,98.802
PER,6199.048,39.0,0 days 00:01:56.750000,8.0,,6104.805,11,1,116.75
PER,7806.07,56.0,0 days 00:01:34.755000,5.0,,,11,1,94.755
LEC,2352.846,1.0,0 days 00:02:02.698000,3.0,,,16,1,122.698
LEC,3548.573,12.0,0 days 00:01:40.477000,6.0,3546.889,,16,1,100.477
LEC,3665.346,13.0,0 days 00:01:56.773000,14.0,,3571.829,16,1,116.773
LEC,5502.292,32.0,0 days 00:01:39.973000,5.0,5500.633,,16,1,99.973
LEC,5617.548,33.0,0 days 00:01:55.256000,7.0,,5524.85,16,1,115.256
LEC,7813.126,56.0,0 days 00:01:36.951000,6.0,,,16,1,96.951
RIC,2358.693,1.0,0 days 00:02:08.545000,7.0,,,3,1,128.545
RIC,3647.265,13.0,0 days 00:01:40.195000,4.0,3645.671,,3,1,100.195
RIC,3764.692,14.0,0 days 00:01:57.427000,11.0,,3670.325,3,1,117.427
RIC,5507.0,32.0,0 days 00:01:39.803000,7.0,5505.358,,3,1,99.803
RIC,5623.039,33.0,0 days 00:01:56.039000,9.0,,5530.049,3,1,116.039
RIC,7820.008,56.0,0 days 00:01:35.823000,7.0,,,3,1,95.823
SAI,2364.43,1.0,0 days 00:02:14.282000,10.0,,,55,1,134.282
SAI,3846.17,15.0,0 days 00:01:40.840000,5.0,3844.526,,55,1,100.84
SAI,3962.718,16.0,0 days 00:01:56.548000,11.0,,3868.934,55,1,116.548
SAI,5995.764,37.0,0 days 00:01:39.631000,6.0,5994.069,,55,1,99.631
SAI,6110.892,38.0,0 days 00:01:55.128000,9.0,,6018.443,55,1,115.128
SAI,7821.145,56.0,0 days 00:01:35.760000,8.0,,,55,1,95.76
TSU,2372.65,1.0,0 days 00:02:22.502000,15.0,,,22,1,142.502
TSU,3854.831,15.0,0 days 00:01:40.580000,7.0,3853.137,,22,1,100.58
TSU,3971.958,16.0,0 days 00:01:57.127000,14.0,,3878.216,22,1,117.127
TSU,5618.58,33.0,0 days 00:01:39.388000,8.0,5616.906,,22,1,99.388
TSU,5734.353,34.0,0 days 00:01:55.773000,13.0,,5641.225,22,1,115.773
TSU,7839.737,56.0,0 days 00:01:36.755000,9.0,,,22,1,96.755
STR,2362.544,1.0,0 days 00:02:12.396000,9.0,,,18,1,132.396
STR,3551.217,12.0,0 days 00:01:40.751000,8.0,3549.889,,18,1,100.751
STR,3668.057,13.0,0 days 00:01:56.840000,16.0,,3575.926,18,1,116.84
STR,5125.967,28.0,0 days 00:01:39.588000,9.0,5124.368,,18,1,99.588
STR,5243.48,29.0,0 days 00:01:57.513000,15.0,,5150.113,18,1,117.513
STR,7840.758,56.0,0 days 00:01:38.600000,10.0,,,18,1,98.6
RAI,2366.52,1.0,0 days 00:02:16.372000,11.0,,,7,1,136.372
RAI,3654.348,13.0,0 days 00:01:39.710000,7.0,3652.633,,7,1,99.71
RAI,3771.381,14.0,0 days 00:01:57.033000,14.0,,3676.777,7,1,117.033
RAI,5228.44,29.0,0 days 00:01:39.035000,9.0,5226.76,,7,1,99.035
RAI,5345.074,30.0,0 days 00:01:56.634000,14.0,,5250.884,7,1,116.634
