cID,name
0,AGS
1,Arrows
2,Benetton
3,Brabham
4,Coloni
5,Dallara
6,Euro Brun
7,Ferrari
8,Larrousse
9,Ligier
10,March
11,McLaren
12,Minardi
13,Onyx
14,Osella
15,Rial
16,Team Lotus
17,Tyrrell
18,Williams
19,Zakspeed
20,Leyton House
21,Life
22,Fondmetal
23,Footwork
24,Jordan
25,Lambo
26,Lola
27,Andrea Moda
28,Sauber
29,Pacific
30,Simtek
31,Forti
32,Prost
33,Stewart
34,BAR
35,Jaguar
36,Renault
37,Toyota
38,Red Bull
39,BMW Sauber
40,Honda
41,MF1
42,Spyker MF1
43,Super Aguri
44,Toro Rosso
45,Spyker
46,Force India
47,Brawn
48,HRT
49,Lotus
50,Mercedes
51,Virgin
52,Caterham
53,Lotus F1
54,Marussia
55,Manor Marussia
56,Haas F1 Team
57,Alfa Romeo
58,Racing Point
59,AlphaTauri
60,Alpine F1 Team
61,Aston Martin
62,RB F1 Team
