Driver,Time,LapNumber,LapTime,Position,PitInTime,PitOutTime,dID,rID,Speed
GAS,2117.962,1.0,0 days 00:01:45.008000,17.0,,,180,908,105.008
GAS,5373.539,37.0,0 days 00:01:47.175000,10.0,5356.003,,180,908,107.175
GAS,5467.69,38.0,0 days 00:01:34.151000,11.0,,5376.336,180,908,94.151
PER,2115.25,1.0,0 days 00:01:42.296000,12.0,,,156,908,102.296
PER,3229.131,13.0,0 days 00:01:50.063000,16.0,3211.147,,156,908,110.063
PER,3324.07,14.0,0 days 00:01:34.939000,17.0,,3231.873,156,908,94.939
LEC,2109.996,1.0,0 days 00:01:37.042000,5.0,,,184,908,97.042
LEC,4546.216,28.0,0 days 00:01:47.729000,5.0,4527.249,,184,908,107.729
LEC,4639.62,29.0,0 days 00:01:33.404000,5.0,,4549.014,184,908,93.404
LEC,7198.509,58.0,0 days 00:01:26.926000,5.0,,,184,908,86.926
STR,2115.731,1.0,0 days 00:01:42.777000,13.0,,,183,908,102.777
STR,4481.773,27.0,0 days 00:01:47.488000,10.0,4462.219,,183,908,107.488
STR,4575.773,28.0,0 days 00:01:34,10.0,,4484.558,183,908,94.0
MAG,2111.197,1.0,0 days 00:01:38.243000,6.0,,,168,908,98.243
MAG,3306.96,14.0,0 days 00:01:48.686000,11.0,3287.316,,168,908,108.686
MAG,3401.981,15.0,0 days 00:01:35.021000,10.0,,3309.798,168,908,95.021
MAG,7227.435,58.0,0 days 00:01:28.783000,6.0,,,168,908,88.783
ALB,2114.713,1.0,0 days 00:01:41.759000,11.0,,,186,908,101.759
ALB,3316.751,14.0,0 days 00:01:48.191000,15.0,3298.098,,186,908,108.191
ALB,3411.606,15.0,0 days 00:01:34.855000,15.0,,3319.528,186,908,94.855
KVY,2116.847,1.0,0 days 00:01:43.893000,15.0,,,166,908,103.893
KVY,4394.151,26.0,0 days 00:01:47.022000,11.0,4375.149,,166,908,107.022
KVY,4489.81,27.0,0 days 00:01:35.659000,11.0,,4397.114,166,908,95.659
HUL,2112.646,1.0,0 days 00:01:39.692000,8.0,,,150,908,99.692
HUL,3218.157,13.0,0 days 00:01:47.604000,14.0,3199.373,,150,908,107.604
HUL,3312.633,14.0,0 days 00:01:34.476000,13.0,,3221.088,150,908,94.476
RIC,2161.167,1.0,0 days 00:02:28.213000,20.0,2130.863,,157,908,148.213
RIC,2259.352,2.0,0 days 00:01:38.185000,20.0,,2164.147,157,908,98.185
VER,2109.245,1.0,0 days 00:01:36.291000,4.0,,,174,908,96.291
VER,4266.526,25.0,0 days 00:01:45.970000,4.0,4248.587,,174,908,105.97
VER,4360.178,26.0,0 days 00:01:33.652000,5.0,,4269.437,174,908,93.652
VER,7162.799,58.0,0 days 00:01:27.184000,3.0,,,174,908,87.184
NOR,2114.071,1.0,0 days 00:01:41.117000,10.0,,,187,908,101.117
NOR,3404.185,15.0,0 days 00:01:48.026000,12.0,3385.732,,187,908,108.026
NOR,3500.007,16.0,0 days 00:01:35.822000,13.0,,3407.174,187,908,95.822
HAM,2107.841,1.0,0 days 00:01:34.887000,2.0,,,136,908,94.887
HAM,3371.701,15.0,0 days 00:01:46.079000,4.0,3353.506,,136,908,106.079
HAM,3467.343,16.0,0 days 00:01:35.642000,4.0,,3374.516,136,908,95.642
HAM,7161.165,58.0,0 days 00:01:26.627000,2.0,,,136,908,86.627
VET,2108.58,1.0,0 days 00:01:35.626000,3.0,,,140,908,95.626
VET,3287.561,14.0,0 days 00:01:46.627000,5.0,3268.3,,140,908,106.627
VET,3381.253,15.0,0 days 00:01:33.692000,5.0,,3292.515,140,908,93.692
VET,7197.388,58.0,0 days 00:01:30.822000,4.0,,,140,908,90.822
SAI,2116.157,1.0,0 days 00:01:43.203000,14.0,,,173,908,103.203
RUS,2118.987,1.0,0 days 00:01:46.033000,18.0,,,188,908,106.033
RUS,4445.429,26.0,0 days 00:01:49.321000,18.0,4426.918,,188,908,109.321
RUS,4541.149,27.0,0 days 00:01:35.720000,18.0,,4448.652,188,908,95.72
RUS,5917.179,42.0,0 days 00:01:50.261000,16.0,5899.027,,188,908,110.261
RUS,6016.31,43.0,0 days 00:01:39.131000,16.0,,5920.182,188,908,99.131
RAI,2113.461,1.0,0 days 00:01:40.507000,9.0,,,107,908,100.507
RAI,3131.37,12.0,0 days 00:01:49.402000,16.0,3111.191,,107,908,109.402
RAI,3227.275,13.0,0 days 00:01:35.905000,15.0,,3134.22,107,908,95.905
BOT,2106.767,1.0,0 days 00:01:33.813000,1.0,,,161,908,93.813
BOT,4072.878,23.0,0 days 00:01:46.050000,2.0,4053.695,,161,908,106.05
BOT,4166.683,24.0,0 days 00:01:33.805000,2.0,,4075.765,161,908,93.805
BOT,7140.279,58.0,0 days 00:01:28.161000,1.0,,,161,908,88.161
GRO,2112.07,1.0,0 days 00:01:39.116000,7.0,,,146,908,99.116
GRO,3406.699,15.0,0 days 00:01:56.519000,14.0,3379.496,,146,908,116.519
GRO,3501.78,16.0,0 days 00:01:35.081000,14.0,,3409.637,146,908,95.081
KUB,2159.082,1.0,0 days 00:02:26.128000,19.0,2129.218,,131,908,146.128
KUB,2258.822,2.0,0 days 00:01:39.740000,19.0,,2161.866,131,908,99.74
KUB,4709.988,28.0,0 days 00:01:50.779000,19.0,4690.499,,131,908,110.779
